question,expected_answer
Explain what HTTP stands for.,Hypertext Transfer Protocol
What is the capital of Australia?,Canberra
Which planet is known as the Red Planet?,Mars
Who invented the World Wide Web?,Tim Berners-Lee
What is the powerhouse of the cell?,Mitochondria
Name the largest ocean on Earth.,Pacific Ocean
Which company created the Python programming language?,Python was created by Guido van Rossum
What is the freezing point of water in Celsius?,0°C
Who painted the Mona Lisa?,Leonardo da Vinci
What is the primary function of SQL?,To query and manage relational databases
